SF;Art;Beschreibung;KZ_Bereich;KZ_Bereich_JG;AbgangsJG;Flag;geaendert
"GY";"M";"Abschlusszeugnis im zieldifferenten Bildungsgang Geistige Entwicklung";0;0;"09";"1";
"H";"M";"Abschlusszeugnis im zieldifferenten Bildungsgang Geistige Entwicklung";0;0;"09";"1";
"PS";"M";"Abschlusszeugnis im zieldifferenten Bildungsgang Geistige Entwicklung";0;0;"09";"1";
"R";"M";"Abschlusszeugnis im zieldifferenten Bildungsgang Geistige Entwicklung";0;0;"09";"1";
"S";"M";"Abschlusszeugnis im zieldifferenten Bildungsgang Geistige Entwicklung";0;0;"09";"1";
"SK";"M";"Abschlusszeugnis im zieldifferenten Bildungsgang Geistige Entwicklung";0;0;"09";"1";
"V";"M";"Abschlusszeugnis im zieldifferenten Bildungsgang Geistige Entwicklung";0;0;"09";"1";
"GY";"O";"Erster Schulabschluss nach Klasse 9 (mit Berechtigung zum Besuch der gymnasialen Oberstufe; § 43 Abs. 3 i.V.m. § 40 Abs. 4 S. 2 APO-SI) (nur G8 Bildungsgänge)";0;0;"09";"1";
"GY";"V";"Abschluss des zieldifferenten Bildungsgangs Lernen (nur in G8 Bildungsgängen)";0;0;"09";"1";
"FW";"A";"Ohne Abschluss";0;0;"10";"1";
"GE";"A";"Ohne Abschluss (nur für kürzlich zugewanderte Seiteneinsteiger, die nicht aus Klasse 9 versetzt wurden)";0;0;"10";"1";
"GM";"A";"Ohne Abschluss (nur für kürzlich zugewanderte Seiteneinsteiger, die nicht aus Klasse 9 versetzt wurden)";0;0;"10";"1";
"GY";"A";"Ohne Abschluss (nur für kürzlich zugewanderte Seiteneinsteiger, die nicht aus Klasse 9 versetzt wurden)";0;0;"10";"1";
"H";"A";"Ohne Abschluss (nur für kürzlich zugewanderte Seiteneinsteiger, die nicht aus Klasse 9 versetzt wurden)";0;0;"10";"1";
"PS";"A";"Ohne Abschluss (nur für kürzlich zugewanderte Seiteneinsteiger, die nicht aus Klasse 9 versetzt wurden)";0;0;"10";"1";
"R";"A";"Ohne Abschluss (nur für kürzlich zugewanderte Seiteneinsteiger, die nicht aus Klasse 9 versetzt wurden)";0;0;"10";"1";
"S";"A";"Ohne Abschluss (nur für kürzlich zugewanderte Seiteneinsteiger, die nicht aus Klasse 9 versetzt wurden)";0;0;"10";"1";
"SG";"A";"Ohne Abschluss (nur für kürzlich zugewanderte Seiteneinsteiger, die nicht aus Klasse 9 versetzt wurden)";0;0;"10";"1";
"SK";"A";"Ohne Abschluss (nur für kürzlich zugewanderte Seiteneinsteiger, die nicht aus Klasse 9 versetzt wurden)";0;0;"10";"1";
"SR";"A";"Ohne Abschluss (nur für kürzlich zugewanderte Seiteneinsteiger, die nicht aus Klasse 9 versetzt wurden)";0;0;"10";"1";
"V";"A";"Ohne Abschluss (nur für kürzlich zugewanderte Seiteneinsteiger, die nicht aus Klasse 9 versetzt wurden)";0;0;"10";"1";
"FW";"B";"Erster Schulabschluss";0;0;"10";"1";
"GE";"B";"Erster Schulabschluss (ohne Berechtigung zum Besuch der Klasse 10, Typ B) (ohne weiteren Abschluss im Jahrgang 10)";0;0;"10";"1";
"GM";"B";"Erster Schulabschluss (ohne Berechtigung zum Besuch der Klasse 10, Typ B) (ohne weiteren Abschluss im Jahrgang 10)";0;0;"10";"1";
"GY";"B";"Erster Schulabschluss (ohne Berechtigung zum Besuch der Klasse 10, Typ B) (nur in zieldifferenten G9 Bildungsgängen mit dem Förderschwerpunkt Lernen)";0;0;"10";"1";
"H";"B";"Erster Schulabschluss (ohne Berechtigung zum Besuch der Klasse 10, Typ B)";0;0;"10";"1";
"PS";"B";"Erster Schulabschluss (ohne Berechtigung zum Besuch der Klasse 10, Typ B) (nur in zieldifferenten Bildungsgängen mit dem Förderschwerpunkt Lernen)";0;0;"10";"1";
"R";"B";"Erster Schulabschluss (ohne Berechtigung zum Besuch der Klasse 10, Typ B) (nur in zieldifferenten Bildungsgängen mit dem Förderschwerpunkt Lernen)";0;0;"10";"1";
"S";"B";"Erster Schulabschluss (ohne Berechtigung zum Besuch der Klasse 10, Typ B)";0;0;"10";"1";
"SK";"B";"Erster Schulabschluss (ohne Berechtigung zum Besuch der Klasse 10, Typ B)";0;0;"10";"1";
"V";"B";"Erster Schulabschluss (ohne Berechtigung zum Besuch der Klasse 10, Typ B)";0;0;"10";"1";
"GE";"C";"Erster Schulabschluss (mit Berechtigung zum Besuch der Klasse 10, Typ B) (ohne weiteren Abschluss im Jahrgang 10)";0;0;"10";"1";
"GM";"C";"Erster Schulabschluss (mit Berechtigung zum Besuch der Klasse 10, Typ B) (ohne weiteren Abschluss im Jahrgang 10)";0;0;"10";"1";
"GY";"C";"Erster Schulabschluss nach Klasse 9 (mit Berechtigung zum Besuch der Klasse 10, Typ B) (ohne weiteren Abschluss in Klasse 10)";0;0;"10";"1";
"H";"C";"Erster Schulabschluss (mit Berechtigung zum Besuch der Klasse 10, Typ B)";0;0;"10";"1";
"PS";"C";"Erster Schulabschluss (mit Berechtigung zum Besuch der Klasse 10, Typ B) (ohne weiteren Abschluss im Jahrgang 10)";0;0;"10";"1";
"R";"C";"Erster Schulabschluss (mit Berechtigung zum Besuch der Klasse 10, Typ B)";0;0;"10";"1";
"S";"C";"Erster Schulabschluss (mit Berechtigung zum Besuch der Klasse 10, Typ B)";0;0;"10";"1";
"SG";"C";"Erster Schulabschluss (mit Berechtigung zum Besuch der Klasse 10, Typ B)";0;0;"10";"1";
"SK";"C";"Erster Schulabschluss (mit Berechtigung zum Besuch der Klasse 10, Typ B)";0;0;"10";"1";
"SR";"C";"Erster Schulabschluss (mit Berechtigung zum Besuch der Klasse 10, Typ B)";0;0;"10";"1";
"V";"C";"Erster Schulabschluss (mit Berechtigung zum Besuch der Klasse 10, Typ B)";0;0;"10";"1";
"GE";"D";"Erweiterter Erster Schulabschluss";0;0;"10";"1";
"GM";"D";"Erweiterter Erster Schulabschluss";0;0;"10";"1";
"GY";"D";"Erweiterter Erster Schulabschluss nach Klasse 10 (§ 41 Abs. 2 APO-SI)";0;0;"10";"1";
"H";"D";"Erweiterter Erster Schulabschluss";0;0;"10";"1";
"PS";"D";"Erweiterter Erster Schulabschluss";0;0;"10";"1";
"R";"D";"Erweiterter Erster Schulabschluss";0;0;"10";"1";
"S";"D";"Erweiterter Erster Schulabschluss";0;0;"10";"1";
"SG";"D";"Erweiterter Erster Schulabschluss";0;0;"10";"1";
"SK";"D";"Erweiterter Erster Schulabschluss";0;0;"10";"1";
"SR";"D";"Erweiterter Erster Schulabschluss";0;0;"10";"1";
"V";"D";"Erweiterter Erster Schulabschluss";0;0;"10";"1";
"GE";"F";"Mittlerer Schulabschluss (Fachoberschulreife) ohne Berechtigung zum Besuch der gymnasialen Oberstufe";0;0;"10";"1";
"GM";"F";"Mittlerer Schulabschluss (Fachoberschulreife) ohne Berechtigung zum Besuch der gymnasialen Oberstufe";0;0;"10";"1";
"GY";"F";"Mittlerer Schulabschluss (Fachoberschulreife) (ohne Versetzungsvermerk)";0;0;"10";"1";
"H";"F";"Mittlerer Schulabschluss - Fachoberschulreife ohne Berechtigung zum Besuch der gymnasialen Oberstufe";0;0;"10";"1";
"PS";"F";"Mittlerer Schulabschluss (Fachoberschulreife) ohne Berechtigung zum Besuch der gymnasialen Oberstufe";0;0;"10";"1";
"R";"F";"Mittlerer Schulabschluss - Fachoberschulreife ohne Berechtigung zum Besuch der gymnasialen Oberstufe";0;0;"10";"1";
"S";"F";"Mittlerer Schulabschluss - Fachoberschulreife ohne Berechtigung zum Besuch der gymnasialen Oberstufe";0;0;"10";"1";
"SG";"F";"Mittlerer Schulabschluss - Fachoberschulreife ohne Berechtigung zum Besuch der gymnasialen Oberstufe";0;0;"10";"1";
"SK";"F";"Mittlerer Schulabschluss - Fachoberschulreife ohne Berechtigung zum Besuch der gymnasialen Oberstufe";0;0;"10";"1";
"SR";"F";"Mittlerer Schulabschluss - Fachoberschulreife ohne Berechtigung zum Besuch der gymnasialen Oberstufe";0;0;"10";"1";
"V";"F";"Mittlerer Schulabschluss - Fachoberschulreife ohne Berechtigung zum Besuch der gymnasialen Oberstufe";0;0;"10";"1";
"GE";"G";"Mittlerer Schulabschluss (Fachoberschulreife) mit Berechtigung zum Besuch der gymnasialen Oberstufe (Einführungsphase)";0;0;"10";"1";
"GM";"G";"Mittlerer Schulabschluss (Fachoberschulreife) mit Berechtigung zum Besuch der gymnasialen Oberstufe (Einführungsphase)";0;0;"10";"1";
"GY";"G";"Mittlerer Schulabschluss (Fachoberschulreife) (mit Versetzungsvermerk)";0;0;"10";"1";
"H";"G";"Mittlerer Schulabschluss - Fachoberschulreife mit Berechtigung zum Besuch der gymnasialen Oberstufe (Einführungsphase)";0;0;"10";"1";
"PS";"G";"Mittlerer Schulabschluss (Fachoberschulreife) mit Berechtigung zum Besuch der gymnasialen Oberstufe (Einführungsphase)";0;0;"10";"1";
"R";"G";"Mittlerer Schulabschluss - Fachoberschulreife mit Berechtigung zum Besuch der gymnasialen Oberstufe (Einführungsphase)";0;0;"10";"1";
"S";"G";"Mittlerer Schulabschluss - Fachoberschulreife mit Berechtigung zum Besuch der gymnasialen Oberstufe";0;0;"10";"1";
"SG";"G";"Mittlerer Schulabschluss - Fachoberschulreife mit Berechtigung zum Besuch der gymnasialen Oberstufe";0;0;"10";"1";
"SK";"G";"Mittlerer Schulabschluss - Fachoberschulreife mit Berechtigung zum Besuch der gymnasialen Oberstufe (Einführungsphase)";0;0;"10";"1";
"SR";"G";"Mittlerer Schulabschluss - Fachoberschulreife mit Berechtigung zum Besuch der gymnasialen Oberstufe";0;0;"10";"1";
"V";"G";"Mittlerer Schulabschluss - Fachoberschulreife mit Berechtigung zum Besuch der gymnasialen Oberstufe";0;0;"10";"1";
"GE";"I";"Mittlerer Schulabschluss (Fachoberschulreife) mit Berechtigung zum Besuch der Qualifikationsphase 1";0;0;"10";"1";
"GM";"I";"Mittlerer Schulabschluss (Fachoberschulreife) mit Berechtigung zum Besuch der Qualifikationsphase 1";0;0;"10";"1";
"H";"I";"Mittlerer Schulabschluss - Fachoberschulreife mit Berechtigung zum Besuch der Qualifikationsphase 1 (nur im Bildungsgang Realschule)";0;0;"10";"1";
"PS";"I";"Mittlerer Schulabschluss (Fachoberschulreife) mit Berechtigung zum Besuch der Qualifikationsphase I";0;0;"10";"1";
"R";"I";"Mittlerer Schulabschluss - Fachoberschulreife mit Berechtigung zum Besuch der Qualifikationsphase 1";0;0;"10";"1";
"SK";"I";"Mittlerer Schulabschluss - Fachoberschulreife mit Berechtigung zum Besuch der Qualifikationsphase 1";0;0;"10";"1";
"FW";"M";"Abschlusszeugnis im zieldifferenten Bildungsgang Geistige Entwicklung";0;0;"10";"1";
"GE";"M";"Abschlusszeugnis im zieldifferenten Bildungsgang Geistige Entwicklung";0;0;"10";"1";
"GM";"M";"Abschlusszeugnis im zieldifferenten Bildungsgang Geistige Entwicklung";0;0;"10";"1";
"GY";"M";"Abschlusszeugnis im zieldifferenten Bildungsgang Geistige Entwicklung";0;0;"10";"1";
"H";"M";"Abschlusszeugnis im zieldifferenten Bildungsgang Geistige Entwicklung";0;0;"10";"1";
"PS";"M";"Abschlusszeugnis im zieldifferenten Bildungsgang Geistige Entwicklung";0;0;"10";"1";
"R";"M";"Abschlusszeugnis im zieldifferenten Bildungsgang Geistige Entwicklung";0;0;"10";"1";
"S";"M";"Abschlusszeugnis im zieldifferenten Bildungsgang Geistige Entwicklung";0;0;"10";"1";
"SK";"M";"Abschlusszeugnis im zieldifferenten Bildungsgang Geistige Entwicklung";0;0;"10";"1";
"V";"M";"Abschlusszeugnis im zieldifferenten Bildungsgang Geistige Entwicklung";0;0;"10";"1";
"FW";"V";"Abschluss des zieldifferenten Bildungsgangs Lernen";0;0;"10";"1";
"GE";"V";"Abschluss des zieldifferenten Bildungsgangs Lernen";0;0;"10";"1";
"GM";"V";"Abschluss des zieldifferenten Bildungsgangs Lernen";0;0;"10";"1";
"GY";"V";"Abschluss des zieldifferenten Bildungsgangs Lernen";0;0;"10";"1";
"H";"V";"Abschluss des zieldifferenten Bildungsgangs Lernen";0;0;"10";"1";
"PS";"V";"Abschluss des zieldifferenten Bildungsgangs Lernen";0;0;"10";"1";
"R";"V";"Abschluss des zieldifferenten Bildungsgangs Lernen";0;0;"10";"1";
"S";"V";"Abschluss des zieldifferenten Bildungsgangs Lernen";0;0;"10";"1";
"SK";"V";"Abschluss des zieldifferenten Bildungsgangs Lernen";0;0;"10";"1";
"V";"V";"Abschluss des zieldifferenten Bildungsgangs Lernen";0;0;"10";"1";
"FW";"A";"Ohne Abschluss";0;0;"11";"1";
"FW";"B";"Erster Schulabschluss (nur in zieldifferenten Bildungsgängen mit dem Förderschwerpunkt Lernen)";0;0;"11";"1";
"FW";"D";"Erweiterter Erster Schulabschluss";0;0;"11";"1";
"FW";"F";"Mittlerer Schulabschluss - Fachoberschulreife ohne Berechtigung zum Besuch der gymnasialen Oberstufe";0;0;"11";"1";
"FW";"G";"Mittlerer Schulabschluss - Fachoberschulreife mit Berechtigung zum Besuch der gymnasialen Oberstufe";0;0;"11";"1";
"FW";"M";"Abschlusszeugnis im zieldifferenten Bildungsgang Geistige Entwicklung";0;0;"11";"1";
"FW";"V";"Abschluss des zieldifferenten Bildungsgangs Lernen";0;0;"11";"1";
"FW";"5A";"Nur Berufsabschluss (nur Hiberniaschule)";0;0;"12";"1";
"FW";"5D";"Berufsabschluss und Erweiterter Erster Schulabschluss";0;0;"12";"1";
"FW";"5F";"Berufsabschluss und Mittlerer Schulabschluss - Fachoberschulreife ohne Berechtigung zum Besuch der gymnasialen Oberstufe (nur Hiberniaschule)";0;0;"12";"1";
"FW";"5G";"Berufsabschluss und Mittlerer Schulabschluss - Fachoberschulreife mit Berechtigung zum Besuch der gymnasialen Oberstufe (nur Hiberniaschule)";0;0;"12";"1";
"FW";"A";"Ohne Abschluss";0;0;"12";"1";
"FW";"B";"Erster Schulabschluss (nur in zieldifferenten Bildungsgängen mit dem Förderschwerpunkt Lernen)";0;0;"12";"1";
"FW";"D";"Erweiterter Erster Schulabschluss";0;0;"12";"1";
"FW";"F";"Mittlerer Schulabschluss - Fachoberschulreife ohne Berechtigung zum Besuch der gymnasialen Oberstufe";0;0;"12";"1";
"FW";"G";"Mittlerer Schulabschluss - Fachoberschulreife mit Berechtigung zum Besuch der gymnasialen Oberstufe";0;0;"12";"1";
"FW";"V";"Abschluss des zieldifferenten Bildungsgangs Lernen";0;0;"12";"1";
"FW";"W";"Zeugnis der Waldorfschule";0;0;"12";"1";
"FW";"A";"Ohne Abschluss";0;0;"13";"1";
"FW";"D";"Erweiterter Erster Schulabschluss";0;0;"13";"1";
"FW";"F";"Mittlerer Schulabschluss - Fachoberschulreife ohne Berechtigung zum Besuch der gymnasialen Oberstufe";0;0;"13";"1";
"FW";"G";"Mittlerer Schulabschluss - Fachoberschulreife mit Berechtigung zum Besuch der gymnasialen Oberstufe";0;0;"13";"1";
"FW";"H";"Fachhochschulreife (schulischer Teil) (ohne Abitur)";0;0;"13";"1";
"FW";"K";"Abitur (allgemeine Hochschulreife)";0;0;"13";"1";
"FW";"W";"Zeugnis der Waldorfschule";0;0;"13";"1";
"GM";"A";"Ohne Abschluss (nur für kürzlich zugewanderte Seiteneinsteiger, die nicht aus Klasse 9 versetzt wurden)";0;0;"1A";"1";
"H";"A";"Ohne Abschluss (nur für kürzlich zugewanderte Seiteneinsteiger, die nicht aus Klasse 9 vesetzt wurden)";0;0;"1A";"1";
"R";"A";"Ohne Abschluss (nur für kürzlich zugewanderte Seiteneinsteiger, die nicht aus Klasse 9 versetzt wurden)";0;0;"1A";"1";
"SK";"A";"Ohne Abschluss (nur für kürzlich zugewanderte Seiteneinsteiger, die nicht aus Klasse 9 versetzt wurden)";0;0;"1A";"1";
"V";"A";"Ohne Abschluss (nur für kürzlich zugewanderte Seiteneinsteiger, die nicht aus Klasse 9 versetzt wurden)";0;0;"1A";"1";
"GM";"B";"Erster Schulabschluss (ohne Berechtigung zum Besuch der Klasse 10, Typ B) (ohne weiteren Abschluss im Jahrgang 10)";0;0;"1A";"1";
"H";"B";"Erster Schulabschluss (ohne Berechtigung zum Besuch der Klasse 10, Typ B)";0;0;"1A";"1";
"R";"B";"Erster Schulabschluss (ohne Berechtigung zum Besuch der Klasse 10, Typ B)";0;0;"1A";"1";
"SK";"B";"Erster Schulabschluss (ohne Berechtigung zum Besuch der Klasse 10, Typ B)";0;0;"1A";"1";
"V";"B";"Erster Schulabschluss (ohne Berechtigung zum Besuch der Klasse 10, Typ B)";0;0;"1A";"1";
"GM";"D";"Erweiterter Erster Schulabschluss";0;0;"1A";"1";
"H";"D";"Erweiterter Erster Schulabschluss";0;0;"1A";"1";
"R";"D";"Erweiterter Erster Schulabschluss";0;0;"1A";"1";
"SK";"D";"Erweiterter Erster Schulabschluss";0;0;"1A";"1";
"V";"D";"Erweiterter Erster Schulabschluss";0;0;"1A";"1";
"GM";"M";"Abschlusszeugnis im zieldifferenten Bildungsgang Geistige Entwicklung";0;0;"1A";"1";
"H";"M";"Abschlusszeugnis im zieldifferenten Bildungsgang Geistige Entwicklung";0;0;"1A";"1";
"R";"M";"Abschlusszeugnis im zieldifferenten Bildungsgang Geistige Entwicklung";0;0;"1A";"1";
"SK";"M";"Abschlusszeugnis im zieldifferenten Bildungsgang Geistige Entwicklung";0;0;"1A";"1";
"V";"M";"Abschlusszeugnis im zieldifferenten Bildungsgang Geistige Entwicklung";0;0;"1A";"1";
"GM";"V";"Abschluss des zieldifferenten Bildungsgangs Lernen";0;0;"1A";"1";
"H";"V";"Abschluss des zieldifferenten Bildungsgangs Lernen";0;0;"1A";"1";
"R";"V";"Abschluss des zieldifferenten Bildungsgangs Lernen";0;0;"1A";"1";
"SK";"V";"Abschluss des zieldifferenten Bildungsgangs Lernen";0;0;"1A";"1";
"V";"V";"Abschluss des zieldifferenten Bildungsgangs Lernen";0;0;"1A";"1";
"GM";"A";"Ohne Abschluss (nur für kürzlich zugewanderte Seiteneinsteiger, die nicht aus Klasse 9 versetzt wurden)";0;0;"1B";"1";
"H";"A";"Ohne Abschluss (nur für kürzlich zugewanderte Seiteneinsteiger, die nicht aus Klasse 9 vesetzt wurden)";0;0;"1B";"1";
"SK";"A";"Ohne Abschluss (nur für kürzlich zugewanderte Seiteneinsteiger, die nicht aus Klasse 9 versetzt wurden)";0;0;"1B";"1";
"V";"A";"Ohne Abschluss (nur für kürzlich zugewanderte Seiteneinsteiger, die nicht aus Klasse 9 versetzt wurden)";0;0;"1B";"1";
"GM";"B";"Erster Schulabschluss (ohne Berechtigung zum Besuch der Klasse 10, Typ B) (nur in zieldifferenten Bildungsgängen mit dem Förderschwerpunkt Lernen)";0;0;"1B";"1";
"H";"B";"Erster Schulabschluss (ohne Berechtigung zum Besuch der Klasse 10, Typ B) (nur in zieldifferenten Bildungsgängen mit dem Förderschwerpunkt Lernen)";0;0;"1B";"1";
"SK";"B";"Erster Schulabschluss (ohne Berechtigung zum Besuch der Klasse 10, Typ B) (nur in zieldifferenten Bildungsgängen mit dem Förderschwerpunkt Lernen)";0;0;"1B";"1";
"V";"B";"Erster Schulabschluss (ohne Berechtigung zum Besuch der Klasse 10, Typ B) (nur in zieldifferenten Bildungsgängen mit dem Förderschwerpunkt Lernen)";0;0;"1B";"1";
"GM";"C";"Erster Schulabschluss (mit Berechtigung zum Besuch der Klasse 10, Typ B) (ohne weiteren Abschluss im Jahrgang 10)";0;0;"1B";"1";
"H";"C";"Erster Schulabschluss (mit Berechtigung zum Besuch der Klasse 10, Typ B) (ohne weiteren Abschluss im Jahrgang 10)";0;0;"1B";"1";
"SK";"C";"Erster Schulabschluss (mit Berechtigung zum Besuch der Klasse 10, Typ B) (ohne weiteren Abschluss im Jahrgang 10)";0;0;"1B";"1";
"V";"C";"Erster Schulabschluss (mit Berechtigung zum Besuch der Klasse 10, Typ B) (ohne weiteren Abschluss im Jahrgang 10)";0;0;"1B";"1";
"GM";"D";"Erweiterter Erster Schulabschluss";0;0;"1B";"1";
"H";"D";"Erweiterter Erster Schulabschluss";0;0;"1B";"1";
"SK";"D";"Erweiterter Erster Schulabschluss";0;0;"1B";"1";
"V";"D";"Erweiterter Erster Schulabschluss";0;0;"1B";"1";
"GM";"F";"Mittlerer Schulabschluss - Fachoberschulreife ohne Berechtigung zum Besuch der gymnasialen Oberstufe";0;0;"1B";"1";
"H";"F";"Mittlerer Schulabschluss - Fachoberschulreife ohne Berechtigung zum Besuch der gymnasialen Oberstufe";0;0;"1B";"1";
"SK";"F";"Mittlerer Schulabschluss - Fachoberschulreife ohne Berechtigung zum Besuch der gymnasialen Oberstufe";0;0;"1B";"1";
"V";"F";"Mittlerer Schulabschluss - Fachoberschulreife ohne Berechtigung zum Besuch der gymnasialen Oberstufe";0;0;"1B";"1";
"GM";"G";"Mittlerer Schulabschluss - Fachoberschulreife mit Berechtigung zum Besuch der gymnasialen Oberstufe";0;0;"1B";"1";
"H";"G";"Mittlerer Schulabschluss - Fachoberschulreife mit Berechtigung zum Besuch der gymnasialen Oberstufe";0;0;"1B";"1";
"SK";"G";"Mittlerer Schulabschluss - Fachoberschulreife mit Berechtigung zum Besuch der gymnasialen Oberstufe";0;0;"1B";"1";
"V";"G";"Mittlerer Schulabschluss - Fachoberschulreife mit Berechtigung zum Besuch der gymnasialen Oberstufe";0;0;"1B";"1";
"GM";"M";"Abschlusszeugnis im zieldifferenten Bildungsgang Geistige Entwicklung";0;0;"1B";"1";
"H";"M";"Abschlusszeugnis im zieldifferenten Bildungsgang Geistige Entwicklung";0;0;"1B";"1";
"SK";"M";"Abschlusszeugnis im zieldifferenten Bildungsgang Geistige Entwicklung";0;0;"1B";"1";
"V";"M";"Abschlusszeugnis im zieldifferenten Bildungsgang Geistige Entwicklung";0;0;"1B";"1";
"GM";"V";"Abschluss des zieldifferenten Bildungsgangs Lernen";0;0;"1B";"1";
"H";"V";"Abschluss des zieldifferenten Bildungsgangs Lernen";0;0;"1B";"1";
"SK";"V";"Abschluss des zieldifferenten Bildungsgangs Lernen";0;0;"1B";"1";
"V";"V";"Abschluss des zieldifferenten Bildungsgangs Lernen";0;0;"1B";"1";
"FW";"A";"Ohne Abschluss";0;0;"71";"1";
"S";"A";"Ohne Abschluss";0;0;"71";"1";
"FW";"B";"Erster Schulabschluss";0;0;"71";"1";
"S";"B";"Erster Schulabschluss (ohne Berechtigung zum Besuch der Klasse 10, Typ B)";0;0;"71";"1";
"S";"C";"Erster Schulabschluss (mit Berechtigung zum Besuch der Klasse 10, Typ B)";0;0;"71";"1";
"FW";"D";"Erweiterter Erster Schulabschluss";0;0;"71";"1";
"S";"D";"Erweiterter Erster Schulabschluss";0;0;"71";"1";
"FW";"F";"Mittlerer Schulabschluss - Fachoberschulreife ohne Berechtigung zum Besuch der gymnasialen Oberstufe";0;0;"71";"1";
"S";"F";"Mittlerer Schulabschluss - Fachoberschulreife ohne Berechtigung zum Besuch der gymnasialen Oberstufe";0;0;"71";"1";
"FW";"G";"Mittlerer Schulabschluss - Fachoberschulreife mit Berechtigung zum Besuch der gymnasialen Oberstufe";0;0;"71";"1";
"S";"G";"Mittlerer Schulabschluss - Fachoberschulreife mit Berechtigung zum Besuch der gymnasialen Oberstufe";0;0;"71";"1";
"FW";"H";"Fachhochschulreife (schulischer Teil) (ohne Abitur)";0;0;"71";"1";
"FW";"K";"Abitur (allgemeine Hochschulreife)";0;0;"71";"1";
"FW";"M";"Abschlusszeugnis im zieldifferenten Bildungsgang Geistige Entwicklung";0;0;"71";"1";
"S";"M";"Abschlusszeugnis im zieldifferenten Bildungsgang Geistige Entwicklung";0;0;"71";"1";
"FW";"V";"Abschluss des zieldifferenten Bildungsgangs Lernen";0;0;"71";"1";
"S";"V";"Abschluss des zieldifferenten Bildungsgangs Lernen";0;0;"71";"1";
"FW";"W";"Zeugnis der Waldorfschule";0;0;"71";"1";
"FW";"M";"Abschlusszeugnis im zieldifferenten Bildungsgang Geistige Entwicklung";0;0;"85";"1";
"S";"M";"Abschlusszeugnis im zieldifferenten Bildungsgang Geistige Entwicklung";0;0;"85";"1";
"FW";"M";"Abschlusszeugnis im zieldifferenten Bildungsgang Geistige Entwicklung";0;0;"86";"1";
"S";"M";"Abschlusszeugnis im zieldifferenten Bildungsgang Geistige Entwicklung";0;0;"86";"1";
"GY";"B";"Erster Schulabschluss (ohne Berechtigung zum Besuch der Klasse 10, Typ B) (nur in zieldifferenten G8 Bildungsgängen mit dem Förderschwerpunkt Lernen)";0;0;"EF";"1";
"GE";"G";"Mittlerer Schulabschluss (Fachoberschulreife) (mit Berechtigung zum Besuch der gymnasialen Oberstufe bzw. ohne Versetzungsvermerk; § 40 Abs. 2 APO-GOSt)";0;0;"EF";"1";
"GM";"G";"Mittlerer Schulabschluss (Fachoberschulreife) (mit Berechtigung zum Besuch der gymnasialen Oberstufe bzw. ohne Versetzungsvermerk; § 40 Abs. 2 APO-GOSt)";0;0;"EF";"1";
"GY";"G";"Mittlerer Schulabschluss (Fachoberschulreife) (mit Berechtigung zum Besuch der gymnasialen Oberstufe bzw. ohne Versetzungsvermerk; § 40 Abs. 2 APO-GOSt)";0;0;"EF";"1";
"SG";"G";"Mittlerer Schulabschluss - Fachoberschulreife mit Berechtigung zum Besuch der gymnasialen Oberstufe (ohne Versetzungsvermerk)";0;0;"EF";"1";
"GE";"I";"Mittlerer Schulabschluss (Fachoberschulreife) (mit Berechtigung zum Besuch der Qualifikationsphase I bzw. mit Versetzungsvermerk; § 40 Abs. 2 APO-GOSt)";0;0;"EF";"1";
"GM";"I";"Mittlerer Schulabschluss (Fachoberschulreife) (mit Berechtigung zum Besuch der Qualifikationsphase I bzw. mit Versetzungsvermerk; § 40 Abs. 2 APO-GOSt)";0;0;"EF";"1";
"GY";"I";"Mittlerer Schulabschluss (Fachoberschulreife) (mit Berechtigung zum Besuch der Qualifikationsphase I bzw. mit Versetzungsvermerk; § 40 Abs. 2 APO-GOSt)";0;0;"EF";"1";
"SG";"I";"Mittlerer Schulabschluss - Fachoberschulreife mit Berechtigung zum Besuch der Qualifikationsphase 1 (mit Versetzungsvermerk)";0;0;"EF";"1";
"GY";"M";"Abschlusszeugnis im zieldifferenten Bildungsgang Geistige Entwicklung";0;0;"EF";"1";
"GE";"O";"Erster Schulabschluss nach Klasse 9 (mit Berechtigung zum Besuch der gymnasialen Oberstufe; § 43 Abs. 3 i.V.m. § 40 Abs. 4 S. 2 APO-SI) (ohne weiteren Abschluss in EF)";0;0;"EF";"1";
"GM";"O";"Erster Schulabschluss nach Klasse 9 (mit Berechtigung zum Besuch der gymnasialen Oberstufe; § 43 Abs. 3 i.V.m. § 40 Abs. 4 S. 2 APO-SI) (ohne weiteren Abschluss in EF)";0;0;"EF";"1";
"GY";"O";"Erster Schulabschluss nach Klasse 9 (mit Berechtigung zum Besuch der gymnasialen Oberstufe; § 43 Abs. 3 i.V.m. § 40 Abs. 4 S. 2 APO-SI) (ohne weiteren Abschluss im Jahrgang EF)";0;0;"EF";"1";
"SG";"O";"Erster Schulabschluss nach Klasse 9 (mit Berechtigung zum Besuch der gymnasialen Oberstufe; § 43 Abs. 3 i.V.m. § 40 Abs. 4 S. 2 APO-SI) (ohne weiteren Abschluss im Jahrgang EF)";0;0;"EF";"1";
"GE";"U";"Erweiterter Erster Schulabschluss (mit Berechtigung zum Besuch der gymnasialen Oberstufe; § 41 Abs. 2 APO-SI i.V.m. § 40 Abs. 2 APO-GOSt)";0;0;"EF";"1";
